epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train/loss_epoch,train/loss_step,train/masked_tokens,train/variance_explained,val/effective_rank,val/loss,val/masked_tokens,val/rank_ceiling,val/rank_fraction,val/variance_explained
60,,,2195,0.7651646137237549,,144.0,0.2348352074623108,,,,,,
,5.896684426219233e-06,5.896684426219233e-06,2199,,,,,,,,,,
61,,,2199,,0.7651910781860352,,,,,,,,
,5.624782572046291e-06,5.624782572046291e-06,2219,,,,,,,,,,
61,,,2219,,0.7886452674865723,,,,,,,,
61,,,2231,,,,,6.0,0.8615725636482239,144.0,21.0,0.2857142984867096,0.1384274661540985
61,,,2231,0.7665031552314758,,144.0,0.23349690437316895,,,,,,
,5.357916128504739e-06,5.357916128504739e-06,2239,,,,,,,,,,
62,,,2239,,0.7645468711853027,,,,,,,,
,5.096219470885587e-06,5.096219470885587e-06,2259,,,,,,,,,,
62,,,2259,,0.8411381840705872,,,,,,,,
62,,,2267,,,,,6.0,0.8676974773406982,144.0,21.0,0.2857142984867096,0.13230253756046295
62,,,2267,0.7680621147155762,,144.0,0.23193788528442383,,,,,,
,4.8398243713369194e-06,4.8398243713369194e-06,2279,,,,,,,,,,
63,,,2279,,0.7681630253791809,,,,,,,,
,4.588859932512712e-06,4.588859932512712e-06,2299,,,,,,,,,,
63,,,2299,,0.7589704394340515,,,,,,,,
63,,,2303,,,,,6.0,0.8663779497146606,144.0,21.0,0.2857142984867096,0.13362205028533936
63,,,2303,0.7642698884010315,,144.0,0.23573017120361328,,,,,,
,4.343452522565696e-06,4.343452522565696e-06,2319,,,,,,,,,,
64,,,2319,,0.8589832186698914,,,,,,,,
,4.1037257115172245e-06,4.1037257115172245e-06,2339,,,,,,,,,,
64,,,2339,,0.7500643730163574,,,,,,,,
64,,,2339,,,,,6.0,0.8689755201339722,144.0,21.0,0.2857142984867096,0.1310245245695114
64,,,2339,0.7642937898635864,,144.0,0.23570616543293,,,,,,
,3.869800209036031e-06,3.869800209036031e-06,2359,,,,,,,,,,
65,,,2359,,0.7868895530700684,,,,,,,,
65,,,2375,,,,,6.0,0.8699328899383545,144.0,21.0,0.2857142984867096,0.13006708025932312
65,,,2375,0.7643582820892334,,144.0,0.23564165830612183,,,,,,
,3.6417938036572667e-06,3.6417938036572667e-06,2379,,,,,,,,,,
66,,,2379,,0.7539055943489075,,,,,,,,
